(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpicxx matmul.cpp -o matmul -lstdc++
(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root -np 1 ./matmul
Size:  128 | Runs:   2.04ms   1.66ms   1.60ms   1.52ms   2.56ms | Avg:   1.88ms
Size:  256 | Runs:  13.45ms  16.27ms  14.81ms  14.89ms  16.14ms | Avg:  15.11ms
Size:  384 | Runs:  57.14ms  56.50ms  54.86ms  55.02ms  53.54ms | Avg:  55.41ms
Size:  512 | Runs: 272.23ms 282.56ms 247.01ms 236.48ms 241.86ms | Avg: 256.03ms
Size:  640 | Runs: 433.48ms 445.31ms 473.41ms 434.94ms 457.17ms | Avg: 448.86ms
Size:  768 | Runs: 1144.03ms 1062.90ms 1072.54ms 961.49ms 986.60ms | Avg: 1045.51ms
Size:  896 | Runs: 1414.66ms 1453.48ms 1313.08ms 1413.44ms 1378.86ms | Avg: 1394.70ms
Size: 1024 | Runs: 3138.83ms 3174.68ms 3407.19ms 3064.04ms 3324.22ms | Avg: 3221.79ms
Size: 1152 | Runs: 3797.57ms 3586.93ms 3973.39ms 3786.76ms 3472.37ms | Avg: 3723.40ms
Size: 1280 | Runs: 5894.26ms 5741.67ms 5566.74ms 5454.49ms 5992.02ms | Avg: 5729.84ms
Size: 1408 | Runs: 7836.06ms 5731.75ms 4622.37ms 4514.76ms 4633.74ms | Avg: 5467.73ms
Size: 1536 | Runs: 7897.04ms 7125.01ms 6978.41ms 8446.80ms 8059.17ms | Avg: 7701.29ms
Size: 1664 | Runs: 7734.18ms 8239.41ms 7298.86ms 7438.14ms 7538.96ms | Avg: 7649.91ms
Size: 1792 | Runs: 9936.08ms 11512.82ms 11787.10ms 11953.88ms 11872.39ms | Avg: 11412.45ms
Size: 1920 | Runs: 13759.66ms 13572.47ms 12289.64ms 11686.06ms 11773.48ms | Avg: 12616.26ms
